START_TASK=3 STOP_TASK=4
============================================================================================================
Arguments =
	approach: eeil
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/food101
	dataset: food101
	eval_on_train: False
	experiment_path: None
	fix_bn: False
	freeze_backbone: False
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 70
	network: vit_small_patch16_224.augreg_in1k
	no_cudnn_deterministic: False
	normalize: in1k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 3
	start_epoch: 0
	stop_at_task: 4
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
	T: 2
	lamb: 1.0
	lr_finetuning_factor: 0.01
	nepochs_finetuning: 40
	noise_grad: False
============================================================================================================
Exemplars arguments =
	exemplar_selection: random
	num_exemplars: 2000
============================================================================================================
WARNING: ./results/vit_small_patch16_224.augreg_in1k/food101/eeil/10 already exists!
Loaded acc_taw from: ./results/vit_small_patch16_224.augreg_in1k/food101/eeil/10/acc_taw-2.txt
Loaded acc_tag from: ./results/vit_small_patch16_224.augreg_in1k/food101/eeil/10/acc_tag-2.txt
Loaded forg_taw from: ./results/vit_small_patch16_224.augreg_in1k/food101/eeil/10/forg_taw-2.txt
Loaded forg_tag from: ./results/vit_small_patch16_224.augreg_in1k/food101/eeil/10/forg_tag-2.txt
Loaded 2010 exemplars from ./results/vit_small_patch16_224.augreg_in1k/food101/eeil/10/task2_exemplars.pth
************************************************************************************************************
Task  3  [epochs 0-70]
************************************************************************************************************
[params] total:21,681,064  trainable:21,681,064  tensors:158  trainable_tensors:158
| Epoch   1, time= 37.3s | Train: skip eval | Valid: time=  3.4s loss=0.801, TAw acc= 88.9% | * lr=1.0e-02
| Epoch   2, time= 36.7s | Train: skip eval | Valid: time=  2.9s loss=0.736, TAw acc= 93.1% | * lr=1.0e-02
| Epoch   3, time= 35.6s | Train: skip eval | Valid: time=  3.1s loss=0.722, TAw acc= 93.9% | * lr=1.0e-02
| Epoch   4, time= 38.8s | Train: skip eval | Valid: time=  3.4s loss=0.690, TAw acc= 94.8% | * lr=9.9e-03
| Epoch   5, time= 35.5s | Train: skip eval | Valid: time=  3.0s loss=0.701, TAw acc= 93.6% | lr=9.9e-03
| Epoch   6, time= 35.1s | Train: skip eval | Valid: time=  3.6s loss=0.703, TAw acc= 94.3% | lr=9.8e-03
| Epoch   7, time= 34.2s | Train: skip eval | Valid: time=  3.4s loss=0.686, TAw acc= 94.1% | * lr=9.8e-03
| Epoch   8, time= 34.8s | Train: skip eval | Valid: time=  3.1s loss=0.658, TAw acc= 94.4% | * lr=9.7e-03
| Epoch   9, time= 38.5s | Train: skip eval | Valid: time=  3.0s loss=0.688, TAw acc= 94.4% | lr=9.6e-03
| Epoch  10, time= 37.7s | Train: skip eval | Valid: time=  3.2s loss=0.669, TAw acc= 94.8% | lr=9.5e-03
| Epoch  11, time= 34.1s | Train: skip eval | Valid: time=  3.2s loss=0.667, TAw acc= 94.9% | lr=9.4e-03
| Epoch  12, time= 37.4s | Train: skip eval | Valid: time=  3.1s loss=0.670, TAw acc= 94.9% | lr=9.3e-03
| Epoch  13, time= 36.2s | Train: skip eval | Valid: time=  2.9s loss=0.652, TAw acc= 95.2% | * lr=9.2e-03
| Epoch  14, time= 37.7s | Train: skip eval | Valid: time=  2.9s loss=0.667, TAw acc= 94.9% | lr=9.1e-03
| Epoch  15, time= 36.4s | Train: skip eval | Valid: time=  3.1s loss=0.657, TAw acc= 95.2% | lr=8.9e-03
| Epoch  16, time= 35.9s | Train: skip eval | Valid: time=  3.1s loss=0.666, TAw acc= 95.7% | lr=8.8e-03
| Epoch  17, time= 35.4s | Train: skip eval | Valid: time=  3.0s loss=0.664, TAw acc= 95.1% | lr=8.6e-03
